ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
100
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 1.0000000000000000e+02
0.0000000000000000e+00 1.0000000000000000e+02
0.0000000000000000e+00 1.0000000000000000e+02
ITEM: ATOMS id mol type x y z 
43 1 1 92.2215 3.26774 9.00643 
44 1 1 93.0893 3.64209 9.13098 
45 1 1 94.0644 3.46556 9.10577 
46 1 1 94.7963 3.1177 8.54253 
47 1 1 94.2917 3.21161 7.67616 
48 1 1 94.9142 3.7429 7.10654 
49 1 1 94.724 2.91073 6.65277 
50 1 1 95.2793 2.18101 6.40482 
51 1 1 96.1294 1.7025 6.24461 
52 1 1 97.0037 1.79852 5.85581 
53 1 1 97.4859 2.6918 6.00147 
54 1 1 97.6918 3.51747 5.49914 
55 1 1 97.022 4.24009 5.26972 
56 1 1 96.4092 4.23201 6.01862 
57 1 1 95.6808 4.86064 5.96041 
58 1 1 95.0214 5.55558 6.11645 
59 1 1 94.4218 6.24593 5.80374 
60 1 1 93.5738 5.95868 5.57016 
61 1 1 92.7493 6.49896 5.66916 
62 1 1 93.3864 6.9969 6.18074 
63 1 1 93.5566 7.85674 6.58694 
64 1 1 93.3052 8.71049 6.62305 
65 1 1 93.1289 9.42046 7.33499 
66 1 1 92.4308 10.2274 7.22447 
67 1 1 91.5125 9.92808 7.14286 
68 1 1 90.6711 10.3649 7.47611 
69 1 1 90.2925 9.56336 7.9872 
70 1 1 90.246 9.4494 6.9525 
71 1 1 89.5851 9.99013 6.43209 
72 1 1 89.578 10.8018 5.73234 
73 1 1 89.8858 11.4232 6.33868 
74 1 1 90.4389 12.0334 5.80529 
75 1 1 91.3446 12.2792 5.81559 
76 1 1 92.0378 11.6766 6.15619 
77 1 1 92.8552 11.3438 5.65327 
78 1 1 93.7228 11.3121 5.04162 
79 1 1 92.7909 11.0751 4.63968 
80 1 1 92.3872 10.2325 4.34412 
81 1 1 92.7861 9.42888 4.01479 
82 1 1 91.7882 9.4594 4.28532 
83 1 1 91.0037 9.02182 4.67215 
84 1 1 91.0742 8.82095 3.80141 
85 1 1 90.9161 9.38785 3.05653 
86 1 1 90.9357 8.52594 2.64867 
87 1 1 90.8638 8.72607 1.54647 
88 1 1 90.4844 9.46216 1.03829 
89 1 1 90.5769 10.3142 1.44405 
90 1 1 90.4299 11.1273 2.05475 
91 1 1 89.6376 11.5906 1.59355 
92 1 1 89.9135 11.391 0.725503 
93 1 1 89.0659 11.7799 0.441084 
94 1 1 89.1094 10.961 99.8731 
95 1 1 88.5953 10.2381 99.4346 
96 1 1 87.7452 10.4519 98.9609 
97 1 1 87.624 11.3592 99.0212 
98 1 1 87.4095 12.0784 98.5519 
99 1 1 86.5253 12.0371 98.3339 
100 1 1 86.3836 12.1161 97.3539 
ITEM: TIMESTEP
30000
ITEM: NUMBER OF ATOMS
100
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 1.0000000000000000e+02
0.0000000000000000e+00 1.0000000000000000e+02
0.0000000000000000e+00 1.0000000000000000e+02
ITEM: ATOMS id mol type x y z 
1 1 1 92.3109 5.52661 94.1978 
2 1 1 91.9952 6.18926 94.9686 
3 1 1 91.1796 6.19752 95.5701 
4 1 1 91.947 5.96138 96.0696 
5 1 1 92.307 6.01327 97.0225 
6 1 1 92.7885 5.4323 97.5792 
7 1 1 93.7069 5.01514 97.645 
8 1 1 94.553 4.89997 97.0433 
9 1 1 94.5884 4.67258 96.0898 
10 1 1 94.5283 3.79172 95.6561 
11 1 1 94.0083 3.22558 95.167 
12 1 1 93.14 2.91574 94.8652 
13 1 1 92.8164 2.30695 95.5397 
14 1 1 93.6068 2.01761 95.94 
15 1 1 92.8771 2.23521 96.5469 
16 1 1 93.7855 2.47378 96.8637 
17 1 1 93.7869 2.04228 97.7007 
18 1 1 94.288 2.5454 98.2206 
19 1 1 93.7239 3.35288 98.1469 
20 1 1 92.9259 3.02396 98.7061 
21 1 1 92.8301 2.16536 99.2485 
22 1 1 92.8501 1.69555 0.253533 
23 1 1 93.2544 1.22382 1.03361 
24 1 1 93.8878 0.561546 0.76182 
25 1 1 93.4731 0.29068 1.58917 
26 1 1 93.0648 0.195272 2.4661 
27 1 1 92.585 0.929296 2.80002 
28 1 1 92.2124 0.156127 3.26532 
29 1 1 92.0105 99.7295 4.13599 
30 1 1 91.8575 99.1778 3.41309 
31 1 1 91.0474 99.6745 3.22693 
32 1 1 91.0956 99.245 4.11529 
33 1 1 90.9211 99.0923 5.10578 
34 1 1 91.4421 98.1205 5.10697 
35 1 1 91.5835 97.2047 5.18727 
36 1 1 92.5645 97.1411 5.04466 
37 1 1 92.0957 96.3279 5.21528 
38 1 1 91.5679 95.4781 4.88515 
39 1 1 92.0634 96.0262 4.28822 
40 1 1 92.3073 95.3168 3.71598 
41 1 1 92.8978 94.6239 4.21927 
42 1 1 92.3789 94.9034 4.90971 
43 1 1 93.2167 95.4698 5.03855 
44 1 1 93.4683 96.144 5.68876 
45 1 1 94.2885 95.7756 5.33084 
46 1 1 95.1913 95.6681 5.85891 
47 1 1 95.925 96.2385 6.07946 
48 1 1 95.5841 96.9887 5.57536 
49 1 1 95.7202 97.7909 5.13445 
50 1 1 94.9394 98.2492 4.79308 
51 1 1 95.3846 98.8701 4.01972 
52 1 1 95.4501 99.8224 3.94096 
53 1 1 96.1682 99.9576 4.57536 
54 1 1 96.5243 0.840006 4.76006 
55 1 1 96.2017 1.6907 4.83114 
56 1 1 95.5637 2.29864 5.15748 
57 1 1 95.6709 3.16108 5.67755 
58 1 1 94.7574 2.7836 5.50202 
59 1 1 94.1278 3.45733 5.66652 
60 1 1 93.2205 3.42939 5.99581 
61 1 1 93.2441 4.23447 5.36742 
62 1 1 93.0942 5.19115 5.41619 
63 1 1 93.2564 6.11665 5.78749 
64 1 1 93.969 6.75721 5.59853 
65 1 1 93.5126 7.51012 5.14712 
66 1 1 93.0961 7.55552 4.26605 
67 1 1 93.3452 8.02119 3.33764 
68 1 1 93.2809 7.05746 3.27809 
69 1 1 93.2854 7.06697 2.26953 
70 1 1 92.9651 8.08074 2.41401 
71 1 1 92.5763 8.65895 1.76494 
72 1 1 91.8433 8.16234 2.23813 
73 1 1 90.9745 8.17172 1.82006 
74 1 1 91.2035 8.42 0.863888 
75 1 1 91.4233 9.2346 1.41265 
76 1 1 90.6887 10.0331 1.42363 
77 1 1 89.91 10.2445 2.04417 
78 1 1 89.2607 10.9354 2.35872 
79 1 1 88.9012 10.162 2.82867 
80 1 1 88.9512 9.22279 2.74406 
