# Time-averaged data for fix z
# TimeStep c_z
818000 3.13214
819000 3.09223
820000 3.18435
821000 2.63253
822000 2.27624
823000 1.96917
824000 1.68368
825000 1.39855
826000 2.54464
827000 1.51631
828000 3.339
829000 2.42837
830000 1.81565
831000 2.62144
832000 2.04005
833000 1.09001
834000 2.25152
835000 2.65738
836000 3.14731
837000 2.22635
838000 2.22418
839000 1.81186
840000 1.16552
841000 1.65231
842000 1.55902
843000 1.30675
844000 1.9529
845000 2.98257
846000 1.91331
847000 1.25567
848000 1.109
849000 1.94186
850000 1.42811
851000 3.52842
852000 2.65641
853000 1.94204
854000 1.06386
855000 1.07109
856000 1.60661
857000 3.23594
858000 2.81299
859000 2.42689
860000 1.04072
861000 1.65906
862000 1.473
863000 3.17073
864000 3.72656
865000 3.84769
866000 2.5902
867000 0.960839
868000 1.36003
869000 2.87593
870000 4.74414
871000 3.55133
872000 1.91433
873000 2.73065
874000 2.47197
875000 1.77573
876000 2.2658
877000 2.62587
878000 1.93748
879000 2.36097
880000 2.39315
881000 2.00134
882000 2.71399
883000 1.29715
884000 1.44827
885000 1.88669
886000 1.78677
887000 1.9128
888000 3.30001
889000 2.29339
890000 3.9396
891000 4.18912
892000 4.56426
893000 4.25799
894000 3.56002
895000 1.62869
896000 1.54626
897000 1.48332
898000 2.25274
899000 2.35317
900000 2.05472
901000 2.74595
902000 3.14469
903000 1.95745
904000 1.10321
905000 1.33044
906000 2.97753
907000 2.08394
908000 4.3148
909000 3.13423
910000 2.89678
911000 2.33212
912000 3.04171
913000 4.28787
914000 4.76995
915000 5.47729
916000 5.60156
917000 5.21035
918000 6.20736
919000 5.1691
920000 5.83843
921000 5.37848
922000 6.0398
923000 6.2959
924000 5.4951
925000 6.06925
926000 6.18721
927000 5.78733
928000 5.25246
929000 3.52935
930000 4.09761
931000 4.07153
932000 2.28346
933000 1.87014
934000 1.475
935000 1.77154
936000 2.2188
937000 3.01528
938000 3.30073
939000 1.23473
940000 1.30219
941000 2.76427
942000 2.28029
943000 2.72314
944000 3.23641
945000 4.04596
946000 2.83966
947000 2.55548
948000 1.01339
949000 2.16668
950000 2.55441
951000 2.86513
952000 2.14427
953000 1.49267
954000 3.09472
955000 3.16789
956000 3.26747
957000 2.1439
958000 2.85959
959000 2.61354
960000 4.25811
961000 2.72753
962000 2.8442
963000 3.86858
964000 4.07111
965000 3.92816
966000 2.26538
967000 1.92508
968000 1.95701
969000 2.57956
970000 3.02125
971000 1.47741
972000 2.49008
973000 3.2676
974000 2.58293
975000 1.61745
976000 2.72913
977000 1.16432
978000 1.72886
979000 1.78971
980000 2.87963
981000 2.45663
982000 2.76968
983000 2.1704
984000 1.55944
985000 2.38844
986000 2.90921
987000 2.55416
988000 2.83769
989000 2.41545
990000 2.45505
991000 2.06062
992000 3.24236
993000 3.45607
994000 3.58432
995000 3.71808
996000 2.58357
997000 1.46516
998000 0.962385
999000 1.78865
1000000 3.49158
