# Time-averaged data for fix 4
# TimeStep c_1[1] c_1[2] c_1[3] c_1[4]
72900 475.025 487.622 0 962.646
73000 476.28 490.17 0 966.45
73100 476.527 490.582 0 967.11
73200 475.778 492.104 0 967.882
73300 473.317 494.18 0 967.496
73400 474.504 499.65 0 974.154
73500 475.703 502.283 0 977.986
73600 473.735 502.034 0 975.768
73700 472.665 502.064 0 974.729
73800 469.789 503.109 0 972.897
73900 469.723 503.834 0 973.557
74000 471.501 505.27 0 976.772
74100 473.925 505.15 0 979.074
74200 478.065 503.656 0 981.721
74300 481.991 500.382 0 982.374
74400 485.769 500.859 0 986.629
74500 487.218 500.433 0 987.651
74600 484.857 498.517 0 983.375
74700 486.614 495.696 0 982.311
74800 491.101 492.696 0 983.797
74900 493.118 494.279 0 987.397
75000 494.782 497.018 0 991.8
75100 496.404 499.019 0 995.423
75200 497.023 500.74 0 997.763
75300 496.973 500.778 0 997.751
75400 497.218 502.953 0 1000.17
75500 498.52 505.887 0 1004.41
75600 500.863 507.784 0 1008.65
75700 499.872 507.473 0 1007.35
75800 496.71 506.992 0 1003.7
75900 497.095 507.321 0 1004.42
76000 501.254 506.522 0 1007.78
76100 504.507 507.343 0 1011.85
76200 506.649 509.748 0 1016.4
76300 506.246 509.709 0 1015.96
76400 505.508 509.731 0 1015.24
76500 507.831 509.396 0 1017.23
76600 509.029 509.375 0 1018.4
76700 509.638 511.43 0 1021.07
76800 510.371 510.505 0 1020.88
76900 511.128 508.44 0 1019.57
77000 511.898 509.808 0 1021.71
77100 513.275 511.454 0 1024.73
77200 514.758 511.08 0 1025.84
77300 514.387 511 0 1025.39
77400 515.418 511.193 0 1026.61
77500 518.499 509.748 0 1028.25
77600 519.451 506.788 0 1026.24
77700 519.44 506.106 0 1025.55
77800 521.026 504.702 0 1025.73
77900 524.461 505.112 0 1029.57
78000 526.295 504.767 0 1031.06
78100 524.726 507.153 0 1031.88
78200 521.818 507.881 0 1029.7
78300 518.891 504.54 0 1023.43
78400 514.226 499.85 0 1014.08
78500 511.239 497.305 0 1008.54
78600 508.866 496.474 0 1005.34
78700 507.2 497.41 0 1004.61
78800 504.698 498.99 0 1003.69
78900 502.09 501.502 0 1003.59
