# Time-averaged data for fix 4
# TimeStep c_1[1] c_1[2] c_1[3] c_1[4]
23500 17086.8 21354.7 0 38441.5
23600 17232.8 21537.2 0 38770
23700 17379.4 21720.5 0 39099.9
23800 17526.7 21904.5 0 39431.2
23900 17674.6 22089.3 0 39763.9
24000 17823 22274.9 0 40097.9
24100 17972.2 22461.3 0 40433.4
24200 18121.9 22648.4 0 40770.3
24300 18272.3 22836.3 0 41108.6
24400 18423.2 23025 0 41448.2
24500 18574.8 23214.5 0 41789.3
24600 18727.1 23404.7 0 42131.8
24700 18879.9 23595.7 0 42475.6
24800 19033.4 23787.5 0 42820.9
24900 19187.4 23980.1 0 43167.5
25000 19342.1 24173.4 0 43515.6
25100 19497.5 24367.6 0 43865
25200 19653.4 24562.5 0 44215.9
25300 19810 24758.1 0 44568.1
25400 19967.2 24954.6 0 44921.8
25500 20125 25151.8 0 45276.8
25600 20283.4 25349.8 0 45633.2
25700 20442.5 25548.6 0 45991.1
25800 20602.2 25748.2 0 46350.3
25900 20762.4 25948.5 0 46710.9
26000 20923.4 26149.6 0 47073
26100 21084.9 26351.5 0 47436.4
26200 21247.1 26554.2 0 47801.2
26300 21409.8 26757.6 0 48167.4
26400 21573.2 26961.8 0 48535.1
26500 21737.3 27166.8 0 48904.1
26600 21901.9 27372.6 0 49274.5
26700 22067.2 27579.1 0 49646.3
26800 22233.1 27786.4 0 50019.5
26900 22399.6 27994.5 0 50394.1
27000 22566.7 28203.4 0 50770.1
27100 22734.5 28413.1 0 51147.5
27200 22902.8 28623.5 0 51526.3
27300 23071.8 28834.7 0 51906.5
27400 23241.4 29046.7 0 52288.1
27500 23411.7 29259.4 0 52671.1
27600 23582.5 29473 0 53055.5
27700 23754 29687.3 0 53441.3
27800 23926.1 29902.4 0 53828.5
27900 24098.8 30118.2 0 54217
28000 24272.2 30334.9 0 54607
28100 24446.1 30552.3 0 54998.4
28200 24620.7 30770.5 0 55391.2
28300 24795.9 30989.4 0 55785.3
28400 24971.7 31209.2 0 56180.9
28500 25148.2 31429.7 0 56577.9
28600 25325.2 31651 0 56976.2
28700 25502.9 31873.1 0 57376
28800 25681.2 32095.9 0 57777.2
28900 25860.2 32319.5 0 58179.7
29000 26039.7 32543.9 0 58583.7
29100 26219.9 32769.1 0 58989
29200 26400.7 32995.1 0 59395.8
29300 26582.1 33221.8 0 59803.9
29400 26764.2 33449.3 0 60213.5
29500 26946.8 33677.6 0 60624.4
29600 27130.1 33906.7 0 61036.7
29700 27314 34136.5 0 61450.5
29800 27498.5 34367.1 0 61865.6
29900 27683.7 34598.5 0 62282.2
30000 27869.4 34830.7 0 62700.1
30100 28055.8 35063.6 0 63119.4
30200 28242.8 35297.3 0 63540.1
30300 28430.4 35531.8 0 63962.3
30400 28618.7 35767.1 0 64385.8
30500 28807.6 36003.1 0 64810.7
30600 28997.1 36239.9 0 65237
30700 29187.2 36477.5 0 65664.7
30800 29377.9 36715.9 0 66093.8
30900 29569.3 36955.1 0 66524.3
31000 29761.2 37195 0 66956.2
31100 29953.8 37435.7 0 67389.5
31200 30147.1 37677.2 0 67824.2
31300 30340.9 37919.4 0 68260.3
31400 30535.4 38162.5 0 68697.8
31500 30730.4 38406.3 0 69136.7
31600 30926.1 38650.9 0 69577
31700 31122.5 38896.2 0 70018.7
31800 31319.4 39142.4 0 70461.8
31900 31517 39389.3 0 70906.3
32000 31715.2 39637 0 71352.1
32100 31914 39885.5 0 71799.4
32200 32113.4 40134.7 0 72248.1
32300 32313.5 40384.7 0 72698.2
32400 32514.1 40635.5 0 73149.6
32500 32715.4 40887.1 0 73602.5
32600 32917.3 41139.4 0 74056.8
32700 33119.9 41392.6 0 74512.4
32800 33323 41646.5 0 74969.5
32900 33526.8 41901.1 0 75428
33000 33731.2 42156.6 0 75887.8
33100 33936.2 42412.8 0 76349.1
33200 34141.9 42669.8 0 76811.7
33300 34348.1 42927.6 0 77275.8
33400 34555 43186.2 0 77741.2
33500 34762.5 43445.5 0 78208
33600 34970.7 43705.6 0 78676.3
33700 35179.4 43966.5 0 79145.9
33800 35388.8 44228.2 0 79617
33900 35598.8 44490.6 0 80089.4
34000 35809.4 44753.8 0 80563.2
34100 36020.6 45017.8 0 81038.5
34200 36232.5 45282.6 0 81515.1
34300 36444.9 45548.2 0 81993.1
34400 36658 45814.5 0 82472.5
34500 36871.8 46081.6 0 82953.3
34600 37086.1 46349.5 0 83435.6
34700 37301.1 46618.1 0 83919.2
34800 37516.6 46887.5 0 84404.2
34900 37732.8 47157.8 0 84890.6
35000 37949.7 47428.7 0 85378.4
35100 38167.1 47700.5 0 85867.6
35200 38385.2 47973 0 86358.2
35300 38603.9 48246.3 0 86850.2
35400 38823.2 48520.4 0 87343.6
35500 39043.1 48795.3 0 87838.4
35600 39263.6 49070.9 0 88334.6
35700 39484.8 49347.3 0 88832.2
35800 39706.6 49624.5 0 89331.1
35900 39929 49902.5 0 89831.5
36000 40152.1 50181.3 0 90333.3
36100 40375.7 50460.8 0 90836.5
36200 40600 50741.1 0 91341.1
36300 40824.9 51022.1 0 91847
36400 41050.4 51304 0 92354.4
36500 41276.6 51586.6 0 92863.2
36600 41503.3 51870 0 93373.3
36700 41730.7 52154.2 0 93884.9
36800 41958.7 52439.2 0 94397.9
36900 42187.3 52724.9 0 94912.2
37000 42416.6 53011.4 0 95428
37100 42646.4 53298.7 0 95945.1
37200 42876.9 53586.7 0 96463.7
37300 43108 53875.6 0 96983.6
37400 43339.8 54165.2 0 97505
37500 43572.1 54455.6 0 98027.7
37600 43805.1 54746.8 0 98551.9
37700 44038.7 55038.7 0 99077.4
37800 44272.9 55331.4 0 99604.3
37900 44507.8 55624.9 0 100133
38000 44743.2 55919.2 0 100662
38100 44979.3 56214.2 0 101194
38200 45216 56510.1 0 101726
38300 45453.3 56806.7 0 102260
38400 45691.3 57104 0 102795
38500 45929.8 57402.2 0 103332
38600 46169 57701.1 0 103870
38700 46408.8 58000.8 0 104410
38800 46649.3 58301.3 0 104951
38900 46890.3 58602.6 0 105493
39000 47132 58904.6 0 106037
39100 47374.3 59207.4 0 106582
39200 47617.2 59511 0 107128
39300 47860.7 59815.4 0 107676
39400 48104.9 60120.5 0 108225
39500 48349.6 60426.4 0 108776
39600 48595 60733.1 0 109328
39700 48841.1 61040.6 0 109882
39800 49087.7 61348.8 0 110437
39900 49335 61657.9 0 110993
40000 49582.8 61967.7 0 111551
40100 49831.3 62278.2 0 112110
40200 50080.5 62589.6 0 112670
40300 50330.2 62901.7 0 113232
40400 50580.6 63214.6 0 113795
40500 50831.6 63528.3 0 114360
40600 51083.2 63842.8 0 114926
40700 51335.4 64158 0 115493
40800 51588.3 64474 0 116062
40900 51841.7 64790.8 0 116633
41000 52095.8 65108.4 0 117204
41100 52350.6 65426.7 0 117777
41200 52605.9 65745.8 0 118352
41300 52861.8 66065.7 0 118928
41400 53118.4 66386.4 0 119505
41500 53375.6 66707.8 0 120083
41600 53633.5 67030 0 120663
41700 53891.9 67353 0 121245
41800 54151 67676.8 0 121828
41900 54410.6 68001.3 0 122412
42000 54670.9 68326.7 0 122998
42100 54931.9 68652.8 0 123585
42200 55193.4 68979.7 0 124173
42300 55455.6 69307.3 0 124763
42400 55718.4 69635.7 0 125354
42500 55981.8 69964.9 0 125947
42600 56245.8 70294.9 0 126541
42700 56510.5 70625.7 0 127136
42800 56775.8 70957.2 0 127733
42900 57041.7 71289.5 0 128331
43000 57308.2 71622.6 0 128931
43100 57575.3 71956.5 0 129532
43200 57843.1 72291.1 0 130134
43300 58111.5 72626.6 0 130738
43400 58380.5 72962.7 0 131343
43500 58650.1 73299.7 0 131950
43600 58920.3 73637.5 0 132558
43700 59191.2 73976 0 133167
43800 59462.7 74315.3 0 133778
43900 59734.8 74655.4 0 134390
44000 60007.5 74996.2 0 135004
44100 60280.9 75337.8 0 135619
44200 60554.8 75680.3 0 136235
44300 60829.4 76023.4 0 136853
44400 61104.7 76367.4 0 137472
44500 61380.5 76712.1 0 138093
44600 61656.9 77057.6 0 138715
44700 61934 77403.9 0 139338
44800 62211.7 77751 0 139963
44900 62490 78098.8 0 140589
45000 62769 78447.4 0 141216
45100 63048.6 78796.8 0 141845
45200 63328.7 79147 0 142476
45300 63609.5 79498 0 143107
45400 63891 79849.7 0 143741
45500 64173 80202.2 0 144375
45600 64455.7 80555.4 0 145011
45700 64739 80909.5 0 145648
45800 65022.9 81264.3 0 146287
45900 65307.4 81619.9 0 146927
46000 65592.6 81976.3 0 147569
46100 65878.3 82333.5 0 148212
46200 66164.7 82691.4 0 148856
46300 66451.8 83050.1 0 149502
46400 66739.4 83409.6 0 150149
46500 67027.7 83769.8 0 150798
46600 67316.5 84130.9 0 151447
46700 67606 84492.7 0 152099
46800 67896.2 84855.3 0 152751
46900 68186.9 85218.7 0 153406
47000 68478.3 85582.8 0 154061
47100 68770.3 85947.7 0 154718
47200 69062.9 86313.4 0 155376
47300 69356.1 86679.9 0 156036
47400 69649.9 87047.1 0 156697
47500 69944.4 87415.2 0 157360
47600 70239.5 87784 0 158023
47700 70535.2 88153.5 0 158689
47800 70831.6 88523.9 0 159355
47900 71128.5 88895 0 160024
48000 71426.1 89266.9 0 160693
48100 71724.3 89639.6 0 161364
48200 72023.1 90013.1 0 162036
48300 72322.6 90387.3 0 162710
48400 72622.6 90762.3 0 163385
48500 72923.3 91138.1 0 164061
48600 73224.6 91514.7 0 164739
48700 73526.5 91892 0 165419
48800 73829.1 92270.1 0 166099
48900 74132.2 92649 0 166781
49000 74436 93028.7 0 167465
49100 74740.4 93409.1 0 168150
49200 75045.5 93790.4 0 168836
49300 75351.1 94172.4 0 169523
49400 75657.4 94555.1 0 170213
49500 75964.3 94938.7 0 170903
49600 76271.8 95323 0 171595
49700 76579.9 95708.1 0 172288
49800 76888.7 96094 0 172983
49900 77198.1 96480.6 0 173679
50000 77508.1 96868.1 0 174376
50100 77818.7 97256.3 0 175075
50200 78130 97645.3 0 175775
50300 78441.8 98035 0 176477
50400 78754.3 98425.6 0 177180
50500 79067.4 98816.9 0 177884
50600 79381.1 99209 0 178590
50700 79695.5 99601.8 0 179297
50800 80010.5 99995.5 0 180006
50900 80326.1 100390 0 180716
51000 80642.3 100785 0 181427
51100 80959.1 101181 0 182140
51200 81276.6 101578 0 182854
51300 81594.6 101975 0 183570
51400 81913.3 102374 0 184287
51500 82232.6 102773 0 185005
51600 82552.6 103173 0 185725
51700 82873.1 103573 0 186446
51800 83194.3 103975 0 187169
51900 83516.1 104377 0 187893
52000 83838.6 104780 0 188618
52100 84161.6 105184 0 189345
52200 84485.3 105588 0 190073
52300 84809.6 105993 0 190803
52400 85134.5 106399 0 191534
52500 85460 106806 0 192266
52600 85786.1 107214 0 193000
52700 86112.9 107622 0 193735
52800 86440.3 108031 0 194472
52900 86768.3 108441 0 195210
53000 87097 108852 0 195949
53100 87426.2 109264 0 196690
53200 87756.1 109676 0 197432
53300 88086.6 110089 0 198175
53400 88417.7 110503 0 198920
53500 88749.5 110917 0 199667
53600 89081.8 111333 0 200415
53700 89414.8 111749 0 201164
53800 89748.4 112166 0 201914
53900 90082.6 112584 0 202666
54000 90417.5 113002 0 203419
54100 90753 113421 0 204174
54200 91089.1 113841 0 204930
54300 91425.8 114262 0 205688
54400 91763.1 114684 0 206447
54500 92101.1 115106 0 207207
54600 92439.6 115529 0 207969
54700 92778.8 115953 0 208732
54800 93118.6 116378 0 209496
54900 93459.1 116803 0 210262
55000 93800.1 117230 0 211030
55100 94141.8 117657 0 211798
55200 94484.1 118084 0 212569
55300 94827.1 118513 0 213340
55400 95170.6 118942 0 214113
55500 95514.8 119372 0 214887
55600 95859.5 119803 0 215663
55700 96205 120235 0 216440
55800 96551 120668 0 217219
55900 96897.6 121101 0 217998
56000 97244.9 121535 0 218780
56100 97592.8 121970 0 219562
56200 97941.3 122405 0 220346
56300 98290.5 122841 0 221132
56400 98640.2 123279 0 221919
56500 98990.6 123716 0 222707
56600 99341.6 124155 0 223497
56700 99693.2 124595 0 224288
56800 100045 125035 0 225080
56900 100398 125476 0 225874
57000 100752 125918 0 226669
57100 101106 126360 0 227466
57200 101461 126803 0 228264
57300 101816 127248 0 229064
57400 102172 127692 0 229864
57500 102529 128138 0 230667
57600 102886 128585 0 231470
57700 103244 129032 0 232275
57800 103602 129480 0 233082
57900 103961 129929 0 233890
58000 104321 130378 0 234699
58100 104681 130828 0 235509
58200 105042 131279 0 236322
58300 105404 131731 0 237135
58400 105766 132184 0 237950
58500 106129 132637 0 238766
58600 106492 133092 0 239584
58700 106856 133547 0 240403
58800 107221 134002 0 241223
58900 107586 134459 0 242045
59000 107952 134916 0 242868
59100 108318 135374 0 243693
59200 108686 135833 0 244519
59300 109053 136293 0 245346
